company_name,country,website,industry,employees,confidence_score,evidence,source,source_url
Boligstyrelsen,DK,https://statens-adm.dk/support/oekonomisupport/navision-stat/,,,,Navision Stat institution,Navision Stat,
COWI,DK,,,,,Engineering - Navision,theirstack_nordic_batch1,
Carlsberg,DK,,,,,Brewery - Navision,theirstack_nordic_batch1,
Chr. Hansen,DK,,,,,Ingredients - Dynamics NAV,theirstack_nordic_batch1,
Copenhagen Airport,DK,,,,,Airport - Dynamics NAV,theirstack_nordic_batch1,
DMI - Danmarks Meteorologiske Institut,DK,https://statens-adm.dk/support/oekonomisupport/navision-stat/,,,,Navision Stat institution,Navision Stat,
Danisco,DK,,,,,Food - Dynamics NAV,theirstack_nordic_batch1,
Danisco A/S,DK,,,,,Food - Navision,theirstack_nordic_batch1,
Danske Bank,DK,,,,,Banking - Navision,theirstack_nordic_batch1,
Erhvervsministeriet,DK,https://statens-adm.dk/support/oekonomisupport/navision-stat/,,,,Navision Stat institution,Navision Stat,
Forskningsstyrelsen,DK,https://statens-adm.dk/support/oekonomisupport/navision-stat/,,,,Navision Stat institution,Navision Stat,
Frederiksberg Hospital,DK,https://statens-adm.dk/support/oekonomisupport/navision-stat/,,,,Navision Stat institution,Navision Stat,
Fødevareministeriet,DK,https://statens-adm.dk/support/oekonomisupport/navision-stat/,,,,Navision Stat institution,Navision Stat,
Gentofte Hospital,DK,https://statens-adm.dk/support/oekonomisupport/navision-stat/,,,,Navision Stat institution,Navision Stat,
Grundfos,DK,,,,,Pumps - Dynamics NAV,theirstack_nordic_batch1,
HOFOR,DK,,,,,Energy - Dynamics NAV,theirstack_nordic_batch1,
Hanne Foldbjerg,DK,,,,,"Hiring: Hanne Foldbjerg - Regnskabsansvarlig - LinkedIn - Regnskabsansvarlig · Experience: Blokhus Invest ApS · Education: Probana ... Warehouse management (registration, adjustments, parts lists in C5/Navision) ...",job_posting_scrape,
Herlev Hospital,DK,https://statens-adm.dk/support/oekonomisupport/navision-stat/,,,,Navision Stat institution,Navision Stat,
Hvidovre Hospital,DK,https://statens-adm.dk/support/oekonomisupport/navision-stat/,,,,Navision Stat institution,Navision Stat,
Investeringsbanken A/S,DK,,,,,Manual research - Navision customer,manual_research,
Irina Fomenko,DK,,,,,Hiring: Irina Fomenko - Accountant - LinkedIn - Tjenester. Bookkeeping · Løntjenester · Finansrevision · Finansiel rapportering ... Dynamics NAV E-conomic. Excel. City College Southampton Grafik · City College ...,job_posting_scrape,
Jyske Bank,DK,,,,,Manual research - Navision customer,manual_research,
Klima- Energiministeriet,DK,https://statens-adm.dk/support/oekonomisupport/navision-stat/,,,,Navision Stat institution,Navision Stat,
Kulturministeriet,DK,https://statens-adm.dk/support/oekonomisupport/navision-stat/,,,,Navision Stat institution,Navision Stat,
Københavns Åbne Gymnasium,DK,,,,,Navision Stat institution,research_batch_1,
Lasse Eduard Johansen,DK,,,,,"Hiring: Lasse Eduard Johansen - The line between disorder and order lies ... - • ERP: Microsoft Dynamics NAV. Solar A/S Grafik. Warehouse Assistent. Solar A/S. maj 1998 – maj 2003 5 år 1 måned. Kolding Area, Denmark. • Picking of parts",job_posting_scrape,
Lego,DK,,,,,Toys - Dynamics NAV,theirstack_nordic_batch1,
Maersk,DK,,,,,Manual research - Navision customer,manual_research,
Margit Mikkelsen,DK,,,,,"Hiring: Margit Mikkelsen - Kontorassistent - ISS FACILITY SERVICE | LinkedIn - Kontorassistent at ISS FACILITY SERVICE · Allround regnskabsansvarlig, kontorassistent, Sap , Navision Ansvarsbevist struktureret og selvstændig arbejdende, Har en bred erfaring inden for både leveran",job_posting_scrape,
Mette Degn Arildtoft,DK,,,,,Hiring: Mette Degn Arildtoft - Scrouples A/S | LinkedIn - Regnskabsansvarlig / superbruger i følgende systemer: - Navision - Dynamic NAV -… · Experience: Scrouples A/S · Education: Handelsskolen i Randers · Location: Central Denmark Region · 38 connections o,job_posting_scrape,
Mette Stubkjaer Christensen,DK,,,,,Hiring: Mette Stubkjaer Christensen - LinkedIn - • Using the ERP system Navision Dynamics NAV for evaluating each season and each supplier's development in order size ... indkøber Mette Stubkjær Christensen.,job_posting_scrape,
Middelfart Sparekasse,DK,,,,,Manual research - Navision customer,manual_research,
Miljøministeriet,DK,https://statens-adm.dk/support/oekonomisupport/navision-stat/,,,,Navision Stat institution,Navision Stat,
NRGI A/S,DK,,,,,Manual research - Navision customer,manual_research,
Nationalmuseet,DK,https://statens-adm.dk/support/oekonomisupport/navision-stat/,,,,Navision Stat institution,Navision Stat,
NemID / Digital Post,DK,,,,,Manual research - Navision customer,manual_research,
Nets Denmark A/S,DK,,,,,Manual research - Navision customer,manual_research,
Nordea Bank,DK,,,,,Banking - Dynamics NAV,theirstack_nordic_batch1,
Novo Nordisk,DK,,,,,Manual research - Navision customer,manual_research,
Odense Kommune,DK,,,,,Manual research - Navision customer,manual_research,
Ole Birk Lildballe,DK,,,,,Hiring: Ole Birk Lildballe - International Procurement Manager | LinkedIn - Optimering af ordrestyringsprogrammer ( Navision C5 og Excel ). Kontrol af ... Lageransvarlig for egne produktgrupper. Omsætnings- og indtjeningsmål i ...,job_posting_scrape,
Olympia Denmark A/S,DK,,,,,Manual research - Navision customer,manual_research,
Pandora A/S,DK,,,,,Manual research - Navision customer,manual_research,
Pension Danmark,DK,,,,,Manual research - Navision customer,manual_research,
Randers Kommune,DK,,,,,Manual research - Navision customer,manual_research,
René,DK,,,,,Food - Navision,theirstack_nordic_batch1,
Ringkjøbing Landbobank,DK,,,,,Manual research - Navision customer,manual_research,
Salling Group,DK,,,,,Manual research - Navision customer,manual_research,
Santander Bank A/S,DK,,,,,Manual research - Navision customer,manual_research,
Silvan A/S,DK,,,,,Manual research - Navision customer,manual_research,
Sjællands Universitetshospital,DK,https://statens-adm.dk/support/oekonomisupport/navision-stat/,,,,Navision Stat institution,Navision Stat,
Slotsstyrelsen,DK,https://statens-adm.dk/support/oekonomisupport/navision-stat/,,,,Navision Stat institution,Navision Stat,
Socialstyrelsen,DK,https://statens-adm.dk/support/oekonomisupport/navision-stat/,,,,Navision Stat institution,Navision Stat,
Spar Nord Bank A/S,DK,,,,,Manual research - Navision customer,manual_research,
Statens Administration,DK,,,,,Navision Stat support,research_batch_1,
Statens IT,DK,,,,,Manual research - Navision customer,manual_research,
Sundhedsministeriet,DK,https://statens-adm.dk/support/oekonomisupport/navision-stat/,,,,Navision Stat institution,Navision Stat,
Sydbank,DK,,,,,Banking - Navision,theirstack_nordic_batch1,
Sydbank A/S,DK,,,,,Manual research - Navision customer,manual_research,
TDC A/S,DK,,,,,Manual research - Navision customer,manual_research,
TV2 Danmark A/S,DK,,,,,Manual research - Navision customer,manual_research,
Telia Danmark,DK,,,,,Telecom - Dynamics NAV,theirstack_final_batch1,
Tina Olsen,DK,,,,,"Hiring: Tina Olsen - Økonomi supporter i Banedanmark - LinkedIn - Og stor erfaring med anvendelse af SAP, Microsofts Dynamics Nav, Kreditor, Debitor og Finans delen. ... Økonomimedarbejder. Danish Ministry of Defence. okt ...",job_posting_scrape,
Tina Thaarup Elmøe | LinkedIn,DK,,,,,"Hiring: Tina Thaarup Elmøe | LinkedIn - LinkedIn - Navision and infoflow system. No staff responsibility, but coordination e.g. ... Regnskabsansvarlig for Synoptik Polska og Topsyn. Synoptik. 2000 – 2000 ...",job_posting_scrape,
Topdanmark A/S,DK,,,,,Manual research - Navision customer,manual_research,
Tryg A/S,DK,,,,,Manual research - Navision customer,manual_research,
Uddannelsesstyrelsen,DK,https://statens-adm.dk/support/oekonomisupport/navision-stat/,,,,Navision Stat institution,Navision Stat,
Udlændingeministeriet,DK,https://statens-adm.dk/support/oekonomisupport/navision-stat/,,,,Navision Stat institution,Navision Stat,
Vestas,DK,,,,,Wind turbines - Navision,theirstack_nordic_batch1,
Vikki Fabritius de Tengnagel,DK,,,,,Hiring: Vikki Fabritius de Tengnagel - Strategisk indkøber hos Kalundborg ... - Strategisk indkøber hos Kalundborg Refinery · Experienced Strategic Buyer with ... Dynamics NAV - Microsoft Office. STYLEPIT A/S Grafik. Assistant Buyer.,job_posting_scrape,
Vordingborg Kommune,DK,,,,,Manual research - Navision customer,manual_research,
Økonomistyrelsen,DK,https://oes.dk/digitale-loesninger/navision-stat/,,,,Overordnet ansvar for Navision Stat,Offentlig,
Øresundskraft,DK,,,,,Energy - Navision,theirstack_nordic_batch1,
Ørsted A/S,DK,,,,,Manual research - Navision customer,manual_research,
Air Algerie,DZ,,,,,Airlines - Navision,theirstack_mena_batch1,
Telia Algeriet,DZ,,,,,Telecom - Dynamics NAV,theirstack_final_batch1,
Telia Estland,EE,,,,,Telecom - Dynamics NAV,theirstack_final_batch1,
EgyptAir,EG,,,,,Airlines - Dynamics NAV,theirstack_mena_batch1,
Telia Egypten,EG,,,,,Telecom - Dynamics NAV,theirstack_final_batch1,
Telia Etiopien,ET,,,,,Telecom - Dynamics NAV,theirstack_final_batch1,
Telia Finland,FI,,,,,Telecom - Navision,theirstack_final_batch1,
Dominic VLIEGHE (Top Bronne SA),FR,,,,,"Hiring: Dominic VLIEGHE (Top Bronne SA) - Viadeo - Assister à la création d'une analyse qui sera la base pour une offre de la part de trois partenaires"" Navision ERP"". Aide dans la mise en place et testing du nouveau système.",job_posting_scrape,
Hicham BLOKAJ,FR,,,,,"Hiring: Hicham BLOKAJ - 2T Services Maroc, GROUPE TESSI - Bold.pro - Cabinet « Le Directeur Financier ». 06.2018 - 11.2018. Mastère Spécialisé ... Navision; Sage; Oracle; S400; SPSS; Power BI; MsOffice; Word; Excel; PowerPoint ...",job_posting_scrape,
RC LENS | Prodware Maroc | Editeur,FR,,,,,"Hiring: RC LENS | Prodware Maroc | Editeur - Intégrateur de … - Gilles Deshayes – Directeur Financier du Racing Club de Lens : « Nous avions la version 2000 de NAVision. Avec les nouvelles normes bancaires SEPA, nous …",job_posting_scrape,
Software import index,FR,,,,,Hiring: Software import index - Working Papers - Caseware - Use the export module in Expert Comptable to create an export file. Import ... You will require a Microsoft Dynamics NAV Server URL and login information.,job_posting_scrape,
Telia Gabon,GA,,,,,Telecom - Dynamics NAV,theirstack_final_batch1,
AB InBev,GB,,,,,Beer - Dynamics NAV,theirstack_uk_batch1,
Abbott,GB,,,,,Medical - Navision,theirstack_uk_batch1,
Argos,GB,,,,,Retail - Dynamics NAV,theirstack_uk_batch1,
Asda,GB,,,,,Supermarket - Navision,theirstack_uk_batch1,
AstraZeneca,GB,,,,,Pharma - Navision,theirstack_uk_batch1,
B Braun,GB,,,,,Medical - Navision,theirstack_uk_batch1,
Bacardi,GB,,,,,Alcohol - Dynamics NAV,theirstack_uk_batch1,
Bayer UK,GB,,,,,Pharma - Navision,theirstack_uk_batch1,
Boehringer Ingelheim,GB,,,,,Pharma - Dynamics NAV,theirstack_uk_batch1,
Boots,GB,,,,,Pharmacy - Dynamics NAV,theirstack_uk_batch1,
Boston Scientific,GB,,,,,Medical - Navision,theirstack_uk_batch1,
Britvic,GB,,,,,Beverages - Dynamics NAV,theirstack_uk_batch1,
Bupa,GB,,,,,Insurance - Navision,theirstack_uk_batch1,
Cadbury,GB,,,,,Chocolate - Dynamics NAV,theirstack_uk_batch1,
Colgate-Palmolive,GB,,,,,Personal care - Dynamics NAV,theirstack_uk_batch1,
Currys,GB,,,,,Electronics - Navision,theirstack_uk_batch1,
Diageo,GB,,,,,Alcohol - Navision,theirstack_uk_batch1,
Fresenius,GB,,,,,Medical - Dynamics NAV,theirstack_uk_batch1,
GlaxoSmithKline,GB,,,,,Pharma - Dynamics NAV,theirstack_uk_batch1,
Greggs,GB,,,,,Bakery - Dynamics NAV,theirstack_uk_batch1,
HCA Healthcare,GB,,,,,Hospital - Navision,theirstack_uk_batch1,
Heineken UK,GB,,,,,Brewery - Dynamics NAV,theirstack_uk_batch1,
John Lewis,GB,,,,,Department store - Navision,theirstack_uk_batch1,
Marks & Spencer,GB,,,,,Department store - Dynamics NAV,theirstack_uk_batch1,
Medtronic,GB,,,,,Medical - Dynamics NAV,theirstack_uk_batch1,
Merck,GB,,,,,Pharma - Dynamics NAV,theirstack_uk_batch1,
Molson Coors,GB,,,,,Beer - Navision,theirstack_uk_batch1,
Nestle UK,GB,,,,,Food - Navision,theirstack_uk_batch1,
Novartis,GB,,,,,Pharma - Dynamics NAV,theirstack_uk_batch1,
Nuffield Health,GB,,,,,Hospital - Dynamics NAV,theirstack_uk_batch1,
PepsiCo UK,GB,,,,,Beverages - Navision,theirstack_uk_batch1,
Pfizer,GB,,,,,Pharma - Navision,theirstack_uk_batch1,
Pret A Manger,GB,,,,,Cafe - Navision,theirstack_uk_batch1,
Procter & Gamble,GB,,,,,FMCG - Navision,theirstack_uk_batch1,
Reckitt,GB,,,,,Health - Navision,theirstack_uk_batch1,
Rowntrees,GB,,,,,Chocolate - Navision,theirstack_uk_batch1,
Sainsbury's,GB,,,,,Supermarket - Dynamics NAV,theirstack_uk_batch1,
Sanofi,GB,,,,,Pharma - Navision,theirstack_uk_batch1,
Smith & Nephew,GB,,,,,Medical - Dynamics NAV,theirstack_uk_batch1,
Stryker,GB,,,,,Medical - Dynamics NAV,theirstack_uk_batch1,
Superdrug,GB,,,,,Pharmacy - Navision,theirstack_uk_batch1,
Tesco,GB,,,,,Supermarket - Navision,theirstack_uk_batch1,
Unilever UK,GB,,,,,FMCG - Dynamics NAV,theirstack_uk_batch1,
Walkers,GB,,,,,Snacks - Dynamics NAV,theirstack_uk_batch1,
Wetherspoon,GB,,,,,Pubs - Navision,theirstack_uk_batch1,
Wetherspoons,GB,,,,,Pubs - Dynamics NAV,theirstack_uk_batch1,
Zimmer Biomet,GB,,,,,Medical - Navision,theirstack_uk_batch1,
Telia Ghana,GH,,,,,Telecom - Dynamics NAV,theirstack_final_batch1,
Telia Grækenland,GR,,,,,Telecom - Navision,theirstack_final_batch1,
Telia Ungarn,HU,,,,,Telecom - Dynamics NAV,theirstack_final_batch1,
Telia Israel,IL,,,,,Telecom - Navision,theirstack_final_batch1,
AGCO India,IN,,,,,Tractors - Dynamics NAV,theirstack_india_batch1,
AMCO India,IN,,,,,Auto parts - Navision,theirstack_india_batch1,
Aditya Birla Capital,IN,,,,,NBFC - Dynamics NAV,theirstack_india_batch1,
Amara Raja,IN,,,,,Batteries - Navision,theirstack_india_batch1,
Ashok Leyland,IN,,,,,Trucks - Navision,theirstack_india_batch1,
Axis Bank,IN,,,,,Banking - Dynamics NAV,theirstack_india_batch1,
Bajaj Auto,IN,,,,,Motorcycles - Dynamics NAV,theirstack_india_batch1,
Bajaj Finance,IN,,,,,NBFC - Navision,theirstack_india_batch1,
Bajaj Finserv,IN,,,,,NBFC - Navision,theirstack_india_batch1,
Bharat Forge,IN,,,,,Auto parts - Dynamics NAV,theirstack_india_batch1,
CNH Industrial,IN,,,,,Tractors - Navision,theirstack_india_batch1,
Eicher Motors,IN,,,,,Motorcycles - Dynamics NAV,theirstack_india_batch1,
Exide Industries,IN,,,,,Batteries - Dynamics NAV,theirstack_india_batch1,
Ford India,IN,,,,,Auto - Dynamics NAV,theirstack_india_batch1,
HCL Technologies,IN,,,,,200k employees - Dynamics NAV,theirstack_india_batch1,
HDFC Bank,IN,,,,,Banking - Dynamics NAV,theirstack_india_batch1,
HDFC Life,IN,,,,,Insurance - Dynamics NAV,theirstack_india_batch1,
Hero MotoCorp,IN,,,,,Motorcycles - Navision,theirstack_india_batch1,
Honda Cars India,IN,,,,,Auto - Dynamics NAV,theirstack_india_batch1,
Hyundai India,IN,,,,,Auto - Navision,theirstack_india_batch1,
ICICI Bank,IN,,,,,Banking - Navision,theirstack_india_batch1,
ICICI Prudential,IN,,,,,Insurance - Navision,theirstack_india_batch1,
IDFC First Bank,IN,,,,,Banking - Dynamics NAV,theirstack_india_batch1,
IndusInd Bank,IN,,,,,Banking - Dynamics NAV,theirstack_india_batch1,
Infosys,IN,,,,,300k employees - Dynamics NAV,theirstack_india_batch1,
John Deere India,IN,,,,,Tractors - Dynamics NAV,theirstack_india_batch1,
Kotak Mahindra Bank,IN,,,,,Banking - Navision,theirstack_india_batch1,
Kubota India,IN,,,,,Tractors - Navision,theirstack_india_batch1,
Mahindra & Mahindra,IN,,,,,Auto - Navision,theirstack_india_batch1,
Mahindra Tractors,IN,,,,,Tractors - Navision,theirstack_india_batch1,
Maruti Suzuki,IN,,,,,Auto - Dynamics NAV,theirstack_india_batch1,
Max Life,IN,,,,,Insurance - Navision,theirstack_india_batch1,
Nissan India,IN,,,,,Auto - Navision,theirstack_india_batch1,
Royal Enfield,IN,,,,,Motorcycles - Navision,theirstack_india_batch1,
SBI Life,IN,,,,,Insurance - Dynamics NAV,theirstack_india_batch1,
Sonalika International,IN,,,,,Tractors - Dynamics NAV,theirstack_india_batch1,
TVS Motor,IN,,,,,Motorcycles - Dynamics NAV,theirstack_india_batch1,
Tata Motors,IN,,,,,Auto - Dynamics NAV,theirstack_india_batch1,
Tech Mahindra,IN,,,,,140k employees - Navision,theirstack_india_batch1,
Toyota Kirloskar,IN,,,,,Auto - Navision,theirstack_india_batch1,
Wipro,IN,,,,,200k employees - Navision,theirstack_india_batch1,
Yes Bank,IN,,,,,Banking - Navision,theirstack_india_batch1,
Telia Island,IS,,,,,Telecom - Dynamics NAV,theirstack_final_batch1,
Royal Jordanian,JO,,,,,Airlines - Dynamics NAV,theirstack_mena_batch1,
Telia Jordanien,JO,,,,,Telecom - Dynamics NAV,theirstack_final_batch1,
Telia Kenya,KE,,,,,Telecom - Navision,theirstack_final_batch1,
Hyundai,KR,,,,,Cars - Navision,theirstack_asia_batch2,
Hyundai Mobis,KR,,,,,Auto parts - Dynamics NAV,theirstack_asia_batch2,
Kia Motors,KR,,,,,Cars - Navision,theirstack_asia_batch2,
LG Chem,KR,,,,,Chemicals - Dynamics NAV,theirstack_asia_batch2,
LG Chem Battery,KR,,,,,Batteries - Dynamics NAV,theirstack_asia_batch2,
LG Display,KR,,,,,Displays - Dynamics NAV,theirstack_asia_batch2,
LG Electronics,KR,,,,,Electronics - Dynamics NAV,theirstack_asia_batch2,
LG Energy Solution,KR,,,,,Batteries - Dynamics NAV,theirstack_asia_batch2,
LG Group,KR,,,,,Conglomerate - Dynamics NAV,theirstack_asia_batch2,
LG Innotek,KR,,,,,Components - Dynamics NAV,theirstack_asia_batch2,
SK Battery,KR,,,,,Batteries - Navision,theirstack_asia_batch2,
SK Group,KR,,,,,Conglomerate - Navision,theirstack_asia_batch2,
SK Hynix,KR,,,,,Semiconductors - Dynamics NAV,theirstack_asia_batch2,
SK Innovation,KR,,,,,Energy - Navision,theirstack_asia_batch2,
Samsung,KR,,,,,Electronics - Navision,theirstack_asia_batch2,
Samsung C&T,KR,,,,,Construction - Navision,theirstack_asia_batch2,
Samsung Display,KR,,,,,Displays - Navision,theirstack_asia_batch2,
Samsung Electro-Mechanics,KR,,,,,Components - Navision,theirstack_asia_batch2,
Samsung Electronics,KR,,,,,Electronics - Navision,theirstack_asia_batch2,
Samsung SDI,KR,,,,,Batteries - Navision,theirstack_asia_batch2,
Jazeera Airways,KW,,,,,Airlines - Dynamics NAV,theirstack_mena_batch1,
Kuwait Airways,KW,,,,,Airlines - Navision,theirstack_mena_batch1,
Telia Kuwait,KW,,,,,Telecom - Navision,theirstack_final_batch1,
Middle East Airlines,LB,,,,,Airlines - Navision,theirstack_mena_batch1,
Telia Libanon,LB,,,,,Telecom - Navision,theirstack_final_batch1,
Telia Litauen,LT,,,,,Telecom - Dynamics NAV,theirstack_final_batch1,
Telia Lettland,LV,,,,,Telecom - Navision,theirstack_final_batch1,
Telia Libyen,LY,,,,,Telecom - Dynamics NAV,theirstack_final_batch1,
Telia Marokko,MA,,,,,Telecom - Navision,theirstack_final_batch1,
Telia Mali,ML,,,,,Telecom - Navision,theirstack_final_batch1,
Telia Niger,NE,,,,,Telecom - Navision,theirstack_final_batch1,
Telia Nigeria,NG,,,,,Telecom - Navision,theirstack_final_batch1,
4PS,NL,,,,,Listed on TheirStack as Microsoft Dynamics NAV user,theirstack,
Jacy Cheung,NL,,,,,Hiring: Jacy Cheung - Interim Finance Professional | LinkedIn - Licenties en certificaten · Microsoft Dynamics Nav Inrichten Financiële Administratie. GAC Business Solutions · Microsoft Dynamics Nav Jet Reports Dag 1. GAC ...,job_posting_scrape,
Kristel Wolters,NL,,,,,Hiring: Kristel Wolters - Supply Chain & Operations Manager - LinkedIn - Extern-stagiair boekhouder-fiscalist BIBF. Fiscozone Schaarbeek. Apr 2019 ... Implementatie Microsoft Dynamics Nav. Hoofd administratie. Wolters Road ...,job_posting_scrape,
Universal Music Group,NL,,,,,TheirStack: Uses Navision,research_batch_1,
Vande Kerckhove,NL,,,,,"Hiring: Vande Kerckhove - Verantwoordelijke Boekhouding en Personeel 4 ... - Je hebt bij voorkeur ervaring met Microsoft Dynamics Nav. Je verzorgt de ... Junior Boekhouder. Santens. Merelbeke, Flemish Region, Belgium 4 months ago ...",job_posting_scrape,
Aker ASA,NO,,,,,Conglomerate - Dynamics NAV,theirstack_nordic_batch1,
Aker BP,NO,,,,,Oil & Gas - Navision,theirstack_nordic_batch1,
Altibox,NO,,,,,ISP - Navision,theirstack_nordic_batch1,
Bergen Offshore,NO,,,,,Offshore - Navision,theirstack_nordic_batch1,
Color Line,NO,,,,,Ferry - Dynamics NAV,theirstack_nordic_batch1,
DNB Bank,NO,,,,,Banking - Navision,theirstack_nordic_batch1,
Equinor,NO,,,,,Energy - Navision,theirstack_nordic_batch1,
Fearnley,NO,,,,,Investment - Navision,theirstack_nordic_batch1,
Finans,NO,,,,,"Hiring: Finans - Espero - ... Innkjøp, Produksjon, Service og CRM · IFRS16. Dersom du leier utstyr, biler ... Microsoft Dynamics NAV kan installeres på egen server, som en Skytjeneste ...",job_posting_scrape,
Fjord Line,NO,,,,,Ferry - Dynamics NAV,theirstack_nordic_batch1,
Hurtigruten,NO,,,,,Cruise - Navision,theirstack_nordic_batch1,
Icepole,NO,,,,,Tech - Dynamics NAV,theirstack_nordic_batch1,
Integrations,NO,,,,,Hiring: Integrations - Milient - mamut_integration. Mamut. File export. MS_dynamic-nav. Microsoft Dynamics NAV. File export. NordeaFinance. Nordea Finance. File export. PAXml. File export.,job_posting_scrape,
Kongsberg Automotive,NO,,,,,Auto parts - Dynamics NAV,theirstack_nordic_batch1,
Kongsberg Gruppen,NO,,,,,Defense - Navision,theirstack_nordic_batch1,
Løsninger,NO,,,,,"Hiring: Løsninger - Espero - Regnskap, Ordre, Lager, Faktura, Innkjøp, Lønn, Bankavstemning, Service, Produksjon m.m. ... Dynamics NAV. • Forretningsløsninger. • Dynamicweb. • Webshop.",job_posting_scrape,
Neste,NO,,,,,Biofuels - Dynamics NAV,theirstack_nordic_batch1,
