company_name,country,website,industry,employees,confidence_score,evidence_type,evidence_text,source,source_url,is_frozen,verified_by,verified_at
Target Australia,AU,,Retail,,5,theirstack,Retail - Dynamics NAV,theirstack_other_batch1,,1,CDQO,2026-04-15T07:17:58.090214
Virgin Australia,AU,,Transportation,,5,theirstack,Airlines - Navision,theirstack_other_batch1,,1,CDQO,2026-04-15T07:17:58.090120
Wesfarmers,AU,,Retail,,5,theirstack,Conglomerate - Navision,theirstack_other_batch1,,1,CDQO,2026-04-15T07:17:58.090090
Westpac,AU,,Finance,,5,theirstack,Banking - Navision,theirstack_other_batch1,,1,CDQO,2026-04-15T07:17:58.090100
Woodside Energy,AU,,Oil & Gas,,5,theirstack,Energy - Dynamics NAV,theirstack_other_batch1,,1,CDQO,2026-04-15T07:17:58.090059
Woolworths,AU,,Retail,,5,theirstack,Supermarket - Dynamics NAV,theirstack_other_batch1,,1,CDQO,2026-04-15T07:17:58.090080
Telia Åland,AX,,Telecom,,5,theirstack,Telecom - Navision,theirstack_baltic_nordic_batch1,,1,CDQO,2026-04-15T07:17:58.096697
9altitudes Belgium,BE,,IT Services and IT Consulting,132,5,technology_stack,Listed on TheirStack as Microsoft Dynamics NAV user,theirstack,https://theirstack.com/en/technology/microsoft-dynamics-nav/be,1,CDQO_MASS,2026-04-15T07:53:51.427384
9altitudes Belgium,BE,,IT Services,132,5,theirstack,TheirStack technology detection - 132 employees,TheirStack,https://theirstack.com/en/technology/navision/be,1,CDQO,2026-04-15T07:17:58.098608
ARLU nv,BE,,Wholesale Building Materials,62,5,technology_stack,Listed on TheirStack as Microsoft Dynamics NAV user,theirstack,https://theirstack.com/en/technology/microsoft-dynamics-nav/be,1,CDQO,2026-04-15T07:17:58.098631
Abecon Informatiesystemen,BE,,Software Development,,5,technology_stack,Listed on TheirStack as Microsoft Dynamics NAV user,theirstack,https://theirstack.com/en/technology/microsoft-dynamics-nav/be,1,CDQO,2026-04-15T07:17:58.098766
Agrafresh,BE,,Retail,47,5,theirstack,TheirStack technology detection - 47 employees,TheirStack,https://theirstack.com/en/technology/navision/be,1,CDQO,2026-04-15T07:17:58.083938
BDO Belgium,BE,,Business Consulting and Services,1k,5,technology_stack,Listed on TheirStack as Microsoft Dynamics NAV user,theirstack,https://theirstack.com/en/technology/microsoft-dynamics-nav/be,1,CDQO,2026-04-15T07:17:58.098789
BESIX,BE,,Construction,,5,theirstack,Construction - Navision,theirstack_europe_batch1,,1,CDQO_MASS,2026-04-15T07:53:51.427384
BESIX,BE,,Construction,12000,5,theirstack,TheirStack technology detection - 12000 employees,TheirStack,https://theirstack.com/en/technology/navision/be,1,CDQO,2026-04-15T07:17:58.090945
BESIX Unitec,BE,,Construction,344,5,theirstack,TheirStack technology detection - 344 employees,TheirStack,https://theirstack.com/en/technology/navision/be,1,CDQO,2026-04-15T07:17:58.083949
Beddeleem,BE,,Construction,148,5,technology_stack,Listed on TheirStack as Microsoft Dynamics NAV user,theirstack,https://theirstack.com/en/technology/microsoft-dynamics-nav/be,1,CDQO_MASS,2026-04-15T07:53:51.427384
Beddeleem,BE,,Construction,148,5,theirstack,TheirStack technology detection - 148 employees,TheirStack,https://theirstack.com/en/technology/navision/be,1,CDQO,2026-04-15T07:17:58.098745
Bihr,BE,,Wholesale,436,5,technology_stack,Listed on TheirStack as Microsoft Dynamics NAV user,theirstack,https://theirstack.com/en/technology/microsoft-dynamics-nav/be,1,CDQO,2026-04-15T07:17:58.098670
Care BV,BE,,Facilities Services,72,5,theirstack,TheirStack technology detection - 72 employees,TheirStack,https://theirstack.com/en/technology/navision/be,1,CDQO,2026-04-15T07:17:58.083916
Cegeka,BE,,IT Services and IT Consulting,5.1k,5,technology_stack,Listed on TheirStack as Microsoft Dynamics NAV user,theirstack,https://theirstack.com/en/technology/microsoft-dynamics-nav/be,1,CDQO_MASS,2026-04-15T07:53:51.427384
Cegeka,BE,,IT Services,5100,5,theirstack,TheirStack technology detection - 5100 employees,TheirStack,https://theirstack.com/en/technology/navision/be,1,CDQO,2026-04-15T07:17:58.098619
Desotec,BE,,IT Services,,5,theirstack,IT services - Dynamics NAV,theirstack_europe_batch1,,1,CDQO_MASS,2026-04-15T07:53:51.427384
Desotec,BE,,Oil & Gas,201,5,theirstack,TheirStack technology detection - 201 employees,TheirStack,https://theirstack.com/en/technology/navision/be,1,CDQO,2026-04-15T07:17:58.090974
Duvel Moortgat USA LTD,BE,,Food and Beverage Services,460,5,technology_stack,Listed on TheirStack as Microsoft Dynamics NAV user,theirstack,https://theirstack.com/en/technology/microsoft-dynamics-nav/be,1,CDQO,2026-04-15T07:17:58.098809
GMI Group,BE,,Consulting,,5,theirstack,Consulting - Navision,theirstack_europe_batch1,,1,CDQO,2026-04-15T07:17:58.090999
NORRIQ BENELUX,BE,,IT Services and IT Consulting,124,5,technology_stack,Listed on TheirStack as Microsoft Dynamics NAV user,theirstack,https://theirstack.com/en/technology/microsoft-dynamics-nav/be,1,CDQO,2026-04-15T07:17:58.098712
Nikon Metrology,BE,,Manufacturing,,5,theirstack,Metrology - Dynamics NAV,theirstack_europe_batch1,,1,CDQO_MASS,2026-04-15T07:53:51.427384
Nikon Metrology,BE,,Manufacturing,478,5,theirstack,TheirStack technology detection - 478 employees,TheirStack,https://theirstack.com/en/technology/navision/be,1,CDQO,2026-04-15T07:17:58.090958
"Product Availability, Localization & Translation Guide for Microsoft ...",BE,download.microsoft.com,,,5,web_mention,"process of adapting software to meet language requirements is called translation. Since laws and regulations that affect businesses vary in each country, Microsoft Dynamics NAV software is not support",country_expansion_v5_be,https://download.microsoft.com/download/8/2/8/8286D942-98D0-453D-97E5-44BD07B654E7/NAV%20Product%20Availability.pdf,1,CDQO,2026-04-15T07:17:58.107433
Telia Burkina Faso,BF,,Telecom,,5,theirstack,Telecom - Dynamics NAV,theirstack_final_batch1,,1,CDQO,2026-04-15T07:17:58.097263
Telia Bulgarien,BG,,Telecom,,5,theirstack,Telecom - Dynamics NAV,theirstack_final_batch1,,1,CDQO,2026-04-15T07:17:58.096892
Bahrain Air,BH,,Transportation,,5,theirstack,Airlines - Navision,theirstack_mena_batch1,,1,CDQO,2026-04-15T07:17:58.095421
Gulf Air,BH,,Transportation,,5,theirstack,Airlines - Dynamics NAV,theirstack_mena_batch1,,1,CDQO,2026-04-15T07:17:58.095400
Telia Bahrain,BH,,Telecom,,5,theirstack,Telecom - Dynamics NAV,theirstack_final_batch1,,1,CDQO,2026-04-15T07:17:58.097005
Acesita,BR,,Manufacturing,,5,theirstack,Steel - Navision,theirstack_latam_batch1,,1,CDQO,2026-04-15T07:17:58.094342
Ambev,BR,,Beverages,,5,theirstack,Beverages - Navision,theirstack_latam_batch1,,1,CDQO,2026-04-15T07:17:58.094137
ArcelorMittal Brasil,BR,,Manufacturing,,5,theirstack,Steel - Dynamics NAV,theirstack_latam_batch1,,1,CDQO,2026-04-15T07:17:58.094269
CSN Mineração,BR,,Mining,,5,theirstack,Mining - Navision,theirstack_latam_batch1,,1,CDQO,2026-04-15T07:17:58.094321
Cimpor,BR,,Manufacturing,,5,theirstack,Cement - Navision,theirstack_latam_batch1,,1,CDQO,2026-04-15T07:17:58.094228
Copene,BR,,Chemicals,,5,theirstack,Chemicals - Dynamics NAV,theirstack_latam_batch1,,1,CDQO,2026-04-15T07:17:58.094218
Cosipa,BR,,Manufacturing,,5,theirstack,Steel - Dynamics NAV,theirstack_latam_batch1,,1,CDQO,2026-04-15T07:17:58.094352
Embraer,BR,,Manufacturing,,5,theirstack,Aerospace - Dynamics NAV,theirstack_latam_batch1,,1,CDQO,2026-04-15T07:17:58.094290
Fênix Consultoria,BR,,Consulting,,5,theirstack,Consulting - Dynamics NAV,theirstack_global_batch2,,1,CDQO,2026-04-15T07:17:58.091103
GAFSA,BR,,Mining,,5,theirstack,Mining - Navision,theirstack_latam_batch1,,1,CDQO,2026-04-15T07:17:58.094301
Gerdau,BR,,Manufacturing,,5,theirstack,Steel - Navision,theirstack_latam_batch1,,1,CDQO,2026-04-15T07:17:58.094249
Gerdau Açominas,BR,,Manufacturing,,5,theirstack,Steel - Dynamics NAV,theirstack_latam_batch1,,1,CDQO,2026-04-15T07:17:58.094372
Gerdau Bagé,BR,,Manufacturing,,5,theirstack,Steel - Navision,theirstack_latam_batch1,,1,CDQO,2026-04-15T07:17:58.094578
Gerdau Cachoeira,BR,,Manufacturing,,5,theirstack,Steel - Navision,theirstack_latam_batch1,,1,CDQO,2026-04-15T07:17:58.094674
Gerdau Capão,BR,,Manufacturing,,5,theirstack,Steel - Dynamics NAV,theirstack_latam_batch1,,1,CDQO,2026-04-15T07:17:58.094460
Gerdau Caxias,BR,,Manufacturing,,5,theirstack,Steel - Dynamics NAV,theirstack_latam_batch1,,1,CDQO,2026-04-15T07:17:58.094500
Gerdau Corrente,BR,,Manufacturing,,5,theirstack,Steel - Navision,theirstack_latam_batch1,,1,CDQO,2026-04-15T07:17:58.094382
Gerdau Corumbá,BR,,Manufacturing,,5,theirstack,Steel - Dynamics NAV,theirstack_latam_batch1,,1,CDQO,2026-04-15T07:17:58.094440
Gerdau Coruripe,BR,,Manufacturing,,5,theirstack,Steel - Navision,theirstack_latam_batch1,,1,CDQO,2026-04-15T07:17:58.094450
Gerdau Dom Pedrito,BR,,Manufacturing,,5,theirstack,Steel - Dynamics NAV,theirstack_latam_batch1,,1,CDQO,2026-04-15T07:17:58.094636
Gerdau Itaqui,BR,,Manufacturing,,5,theirstack,Steel - Dynamics NAV,theirstack_latam_batch1,,1,CDQO,2026-04-15T07:17:58.094694
Gerdau Jaguariaíva,BR,,Manufacturing,,5,theirstack,Steel - Navision,theirstack_latam_batch1,,1,CDQO,2026-04-15T07:17:58.094470
Gerdau Jaguarão,BR,,Manufacturing,,5,theirstack,Steel - Navision,theirstack_latam_batch1,,1,CDQO,2026-04-15T07:17:58.094626
Gerdau Minas,BR,,Manufacturing,,5,theirstack,Steel - Navision,theirstack_latam_batch1,,1,CDQO,2026-04-15T07:17:58.094362
Gerdau Passo Fundo,BR,,Manufacturing,,5,theirstack,Steel - Navision,theirstack_latam_batch1,,1,CDQO,2026-04-15T07:17:58.094510
Gerdau Pau Brasil,BR,,Manufacturing,,5,theirstack,Steel - Navision,theirstack_latam_batch1,,1,CDQO,2026-04-15T07:17:58.094430
Gerdau Pelotas,BR,,Manufacturing,,5,theirstack,Steel - Navision,theirstack_latam_batch1,,1,CDQO,2026-04-15T07:17:58.094490
Gerdau Rio Grande,BR,,Manufacturing,,5,theirstack,Steel - Dynamics NAV,theirstack_latam_batch1,,1,CDQO,2026-04-15T07:17:58.094526
Gerdau Santana,BR,,Manufacturing,,5,theirstack,Steel - Navision,theirstack_latam_batch1,,1,CDQO,2026-04-15T07:17:58.094606
Gerdau São Borja,BR,,Manufacturing,,5,theirstack,Steel - Dynamics NAV,theirstack_latam_batch1,,1,CDQO,2026-04-15T07:17:58.094616
Gerdau São Gabriel,BR,,Manufacturing,,5,theirstack,Steel - Dynamics NAV,theirstack_latam_batch1,,1,CDQO,2026-04-15T07:17:58.094480
Gerdau São João,BR,,Manufacturing,,5,theirstack,Steel - Dynamics NAV,theirstack_latam_batch1,,1,CDQO,2026-04-15T07:17:58.094419
Gerdau Uruguaiana,BR,,Manufacturing,,5,theirstack,Steel - Dynamics NAV,theirstack_latam_batch1,,1,CDQO,2026-04-15T07:17:58.094594
Marfrig,BR,,Food & Beverage,,5,theirstack,Meat - Navision,theirstack_latam_batch1,,1,CDQO,2026-04-15T07:17:58.094147
Minerva Foods,BR,,Food & Beverage,,5,theirstack,Meat - Dynamics NAV,theirstack_latam_batch1,,1,CDQO,2026-04-15T07:17:58.094160
Perdigão,BR,,Food & Beverage,,5,theirstack,Food - Navision,theirstack_latam_batch1,,1,CDQO,2026-04-15T07:17:58.094207
Sadia,BR,,Food & Beverage,,5,theirstack,Food - Dynamics NAV,theirstack_latam_batch1,,1,CDQO,2026-04-15T07:17:58.094195
Siderbrás,BR,,Manufacturing,,5,theirstack,Steel - Dynamics NAV,theirstack_latam_batch1,,1,CDQO,2026-04-15T07:17:58.094331
Tupy,BR,,Manufacturing,,5,theirstack,Castings - Navision,theirstack_latam_batch1,,1,CDQO,2026-04-15T07:17:58.094280
Usiminas,BR,,Manufacturing,,5,theirstack,Steel - Dynamics NAV,theirstack_latam_batch1,,1,CDQO,2026-04-15T07:17:58.094259
Vale,BR,,Mining,,5,theirstack,Mining - Dynamics NAV,theirstack_latam_batch1,,1,CDQO,2026-04-15T07:17:58.094310
Vaxxinova,BR,,Healthcare,,5,theirstack,Healthcare - Navision,theirstack_global_batch2,,1,CDQO,2026-04-15T07:17:58.091079
Votorantim,BR,,Manufacturing,,5,theirstack,Conglomerate - Dynamics NAV,theirstack_latam_batch1,,1,CDQO,2026-04-15T07:17:58.094238
Air Canada,CA,,Transportation,,5,theirstack,Airlines - Navision,theirstack_other_batch1,,1,CDQO,2026-04-15T07:17:58.090326
BDO Canada,CA,,Financial Services,4.8k,5,technology_stack,Listed on TheirStack as Microsoft Dynamics NAV user,theirstack,https://theirstack.com/en/technology/microsoft-dynamics-nav/ca,1,CDQO,2026-04-15T07:17:58.103384
Bank of Montreal,CA,,Finance,,5,theirstack,Banking - Dynamics NAV,theirstack_other_batch1,,1,CDQO,2026-04-15T07:17:58.090254
Bank of Nova Scotia,CA,,Finance,,5,theirstack,Banking - Navision,theirstack_other_batch1,,1,CDQO,2026-04-15T07:17:58.090244
Barrick Gold,CA,,Mining,,5,theirstack,Mining - Dynamics NAV,theirstack_other_batch1,,1,CDQO,2026-04-15T07:17:58.090375
Bayshore HealthCare,CA,,Hospitals and Health Care,5.8k,5,technology_stack,Listed on TheirStack as Microsoft Dynamics NAV user,theirstack,https://theirstack.com/en/technology/microsoft-dynamics-nav/ca,1,CDQO,2026-04-15T07:17:58.103426
Brookfield Asset Management,CA,,Finance,,5,theirstack,Investment - Dynamics NAV,theirstack_other_batch1,,1,CDQO,2026-04-15T07:17:58.090295
Cameco,CA,,Mining,,5,theirstack,Uranium - Dynamics NAV,theirstack_other_batch1,,1,CDQO,2026-04-15T07:17:58.090466
Canadian National Railway,CA,,Transportation,,5,theirstack,Rail - Navision,theirstack_other_batch1,,1,CDQO,2026-04-15T07:17:58.090305
Canadian Natural Resources,CA,,Oil & Gas,,5,theirstack,Energy - Dynamics NAV,theirstack_other_batch1,,1,CDQO,2026-04-15T07:17:58.090424
Canadian Pacific Railway,CA,,Transportation,,5,theirstack,Rail - Dynamics NAV,theirstack_other_batch1,,1,CDQO,2026-04-15T07:17:58.090315
Cenovus Energy,CA,,Oil & Gas,,5,theirstack,Energy - Navision,theirstack_other_batch1,,1,CDQO,2026-04-15T07:17:58.090412
Enbridge,CA,,Oil & Gas,,5,theirstack,Energy - Navision,theirstack_other_batch1,,1,CDQO,2026-04-15T07:17:58.090435
Gosselin Photo Vidéo Inc.,CA,,Retail,81,5,technology_stack,Listed on TheirStack as Microsoft Dynamics NAV user,theirstack,https://theirstack.com/en/technology/microsoft-dynamics-nav/ca,1,CDQO,2026-04-15T07:17:58.103350
Manulife,CA,,Insurance,,5,theirstack,Insurance - Navision,theirstack_other_batch1,,1,CDQO,2026-04-15T07:17:58.090264
Mastronardi Produce,CA,,Food and Beverage Services,1.6k,5,technology_stack,Listed on TheirStack as Microsoft Dynamics NAV user,theirstack,https://theirstack.com/en/technology/microsoft-dynamics-nav/ca,1,CDQO,2026-04-15T07:17:58.103311
McCain Foods,CA,,Food Processing,,5,enterprise_customer,Microsoft Dynamics NAV user,global_research_expansion,,1,CDQO,2026-04-15T07:17:58.084696
Nutrien,CA,,Chemicals,,5,theirstack,Fertilizer - Navision,theirstack_other_batch1,,1,CDQO,2026-04-15T07:17:58.090385
Opal-RT,CA,,IT Services and IT Consulting,340,5,technology_stack,Listed on TheirStack as Microsoft Dynamics NAV user,theirstack,https://theirstack.com/en/technology/microsoft-dynamics-nav/ca,1,CDQO,2026-04-15T07:17:58.103362
Pet Valu,CA,,Retail,,5,job_posting,Dynamics NAV jobs Markham ON,global_detective_v2,,1,CDQO,2026-04-15T07:17:58.084470
Power Financial,CA,,Finance,,5,theirstack,Investment - Navision,theirstack_other_batch1,,1,CDQO,2026-04-15T07:17:58.090285
Primeau Vélo,CA,,Sporting Goods Manufacturing,201,5,technology_stack,Listed on TheirStack as Microsoft Dynamics NAV user,theirstack,https://theirstack.com/en/technology/microsoft-dynamics-nav/ca,1,CDQO,2026-04-15T07:17:58.103325
Royal Bank of Canada,CA,,Finance,,5,theirstack,Banking - Navision,theirstack_other_batch1,,1,CDQO,2026-04-15T07:17:58.090224
SAIL,CA,,Retail,1.2k,5,technology_stack,Listed on TheirStack as Microsoft Dynamics NAV user,theirstack,https://theirstack.com/en/technology/microsoft-dynamics-nav/ca,1,CDQO,2026-04-15T07:17:58.103395
Sollio Agriculture,CA,,Farming,470,5,technology_stack,Listed on TheirStack as Microsoft Dynamics NAV user,theirstack,https://theirstack.com/en/technology/microsoft-dynamics-nav/ca,1,CDQO,2026-04-15T07:17:58.103441
Sun Life Financial,CA,,Insurance,,5,theirstack,Dynamics NAV,theirstack_other_batch1,,1,CDQO,2026-04-15T07:17:58.090275
Suncor Energy,CA,,Oil & Gas,,5,theirstack,Energy - Dynamics NAV,theirstack_other_batch1,,1,CDQO,2026-04-15T07:17:58.090396
Teck Resources,CA,,Mining,,5,theirstack,Mining - Navision,theirstack_other_batch1,,1,CDQO,2026-04-15T07:17:58.090364
Tilray,CA,,Healthcare,,5,customer_reference,Dynamics NAV Toronto ON,global_detective_v2,,1,CDQO,2026-04-15T07:17:58.084480
Toronto-Dominion Bank,CA,,Finance,,5,theirstack,Banking - Dynamics NAV,theirstack_other_batch1,,1,CDQO,2026-04-15T07:17:58.090234
WestJet,CA,,Transportation,,5,theirstack,Airlines - Dynamics NAV,theirstack_other_batch1,,1,CDQO,2026-04-15T07:17:58.090339
Telia DR Congo,CD,,Telecom,,5,theirstack,Telecom - Dynamics NAV,theirstack_final_batch1,,1,CDQO,2026-04-15T07:17:58.097326
Telia Congo,CG,,Telecom,,5,theirstack,Telecom - Navision,theirstack_final_batch1,,1,CDQO,2026-04-15T07:17:58.097316
ABB Switzerland,CH,,Manufacturing,,5,theirstack,Industrial - Navision,theirstack_europe_batch1,,1,CDQO,2026-04-15T07:17:58.090894
Adecco Group,CH,,HR Services,,5,theirstack,HR - Dynamics NAV,theirstack_europe_batch1,,1,CDQO,2026-04-15T07:17:58.090925
KA Resources,CH,,Consulting,,5,theirstack,Consulting - Navision,theirstack_europe_batch1,,1,CDQO,2026-04-15T07:17:58.090935
MET Group,CH,,Consulting,,5,theirstack,Consulting - Dynamics NAV,theirstack_europe_batch1,,1,CDQO,2026-04-15T07:17:58.090905
Puma Energy,CH,,Oil & Gas,,5,theirstack,Energy - Navision,theirstack_europe_batch1,,1,CDQO,2026-04-15T07:17:58.090915
Telia Elfenbenskysten,CI,,Telecom,,5,theirstack,Telecom - Dynamics NAV,theirstack_final_batch1,,1,CDQO,2026-04-15T07:17:58.097220
Telia Cameroun,CM,,Telecom,,5,theirstack,Telecom - Navision,theirstack_final_batch1,,1,CDQO,2026-04-15T07:17:58.097296
Alibaba,CN,,Technology,,5,theirstack,E-commerce - Dynamics NAV,theirstack_asia_batch2,,1,CDQO,2026-04-15T07:17:58.092328
CNOOC,CN,,Oil & Gas,,5,theirstack,Energy - Dynamics NAV,theirstack_asia_batch2,,1,CDQO,2026-04-15T07:17:58.092485
ChemChina,CN,,Chemicals,,5,theirstack,Chemicals - Navision,theirstack_asia_batch2,,1,CDQO,2026-04-15T07:17:58.092536
ChemChina Group,CN,,Chemicals,,5,theirstack,Chemicals - Navision,theirstack_asia_batch2,,1,CDQO,2026-04-15T07:17:58.092555
China National Chemical,CN,,Chemicals,,5,theirstack,Chemicals - Dynamics NAV,theirstack_asia_batch2,,1,CDQO,2026-04-15T07:17:58.092545
China National Petroleum,CN,,Oil & Gas,,5,theirstack,Energy - Navision,theirstack_asia_batch2,,1,CDQO,2026-04-15T07:17:58.092495
China Petrochemical,CN,,Chemicals,,5,theirstack,Chemicals - Navision,theirstack_asia_batch2,,1,CDQO,2026-04-15T07:17:58.092515
China Petroleum,CN,,Oil & Gas,,5,theirstack,Energy - Dynamics NAV,theirstack_asia_batch2,,1,CDQO,2026-04-15T07:17:58.092505
Haier,CN,,Manufacturing,,5,theirstack,Appliances - Dynamics NAV,theirstack_asia_batch2,,1,CDQO,2026-04-15T07:17:58.092285
Hisense,CN,,Technology,,5,theirstack,Electronics - Navision,theirstack_asia_batch2,,1,CDQO,2026-04-15T07:17:58.092296
Huawei,CN,,Technology,,5,theirstack,Telecom - Dynamics NAV,theirstack_asia_batch2,,1,CDQO,2026-04-15T07:17:58.092317
Kweichow Moutai,CN,,Food & Beverage,,5,theirstack,Beverages - Dynamics NAV,theirstack_asia_batch2,,1,CDQO,2026-04-15T07:17:58.092358
Lenovo,CN,,Technology,,5,theirstack,Electronics - Navision,theirstack_asia_batch2,,1,CDQO,2026-04-15T07:17:58.092257
Luzhou Laojiao,CN,,Food & Beverage,,5,theirstack,Beverages - Dynamics NAV,theirstack_asia_batch2,,1,CDQO,2026-04-15T07:17:58.092395
Moutai Group,CN,,Food & Beverage,,5,theirstack,Beverages - Dynamics NAV,theirstack_asia_batch2,,1,CDQO,2026-04-15T07:17:58.092423
PetroChina,CN,,Oil & Gas,,5,theirstack,Energy - Navision,theirstack_asia_batch2,,1,CDQO,2026-04-15T07:17:58.092475
Pinduoduo,CN,,Retail,,5,theirstack,E-commerce - Navision,theirstack_asia_batch2,,1,CDQO,2026-04-15T07:17:58.092348
Sany Heavy Industry,CN,,Manufacturing,,5,theirstack,Construction - Navision,theirstack_asia_batch2,,1,CDQO,2026-04-15T07:17:58.092434
Sinochem,CN,,Chemicals,,5,theirstack,Chemicals - Dynamics NAV,theirstack_asia_batch2,,1,CDQO,2026-04-15T07:17:58.092526
Sinochem Holdings,CN,,Chemicals,,5,theirstack,Chemicals - Dynamics NAV,theirstack_asia_batch2,,1,CDQO,2026-04-15T07:17:58.092568
Sinopec,CN,,Oil & Gas,,5,theirstack,Energy - Dynamics NAV,theirstack_asia_batch2,,1,CDQO,2026-04-15T07:17:58.092464
Tencent,CN,,Technology,,5,theirstack,Gaming - Navision,theirstack_asia_batch2,,1,CDQO,2026-04-15T07:17:58.092338
Wuliangye,CN,,Food & Beverage,,5,theirstack,Beverages - Navision,theirstack_asia_batch2,,1,CDQO,2026-04-15T07:17:58.092372
XCMG,CN,,Manufacturing,,5,theirstack,Construction - Navision,theirstack_asia_batch2,,1,CDQO,2026-04-15T07:17:58.092454
Xiaomi,CN,,Technology,,5,theirstack,Electronics - Navision,theirstack_asia_batch2,,1,CDQO,2026-04-15T07:17:58.092307
Yanghe,CN,,Food & Beverage,,5,theirstack,Beverages - Navision,theirstack_asia_batch2,,1,CDQO,2026-04-15T07:17:58.092405
Zoomlion,CN,,Manufacturing,,5,theirstack,Construction - Dynamics NAV,theirstack_asia_batch2,,1,CDQO,2026-04-15T07:17:58.092444
Telia Tjekkiet,CZ,,Telecom,,5,theirstack,Telecom - Dynamics NAV,theirstack_final_batch1,,1,CDQO,2026-04-15T07:17:58.096852
Mastronardi Produce,Canada,,Food and Beverage Services,,5,theirstack,Listed on TheirStack as Microsoft Dynamics NAV user,theirstack,https://theirstack.com/en/technology/microsoft-dynamics-nav?page=1,1,CDQO,2026-04-15T07:17:58.099303
Primeau Vélo,Canada,,Sporting Goods Manufacturing,,5,theirstack,Listed on TheirStack as Microsoft Dynamics NAV user,theirstack,https://theirstack.com/en/technology/microsoft-dynamics-nav?page=1,1,CDQO,2026-04-15T07:17:58.099314
ABB Germany,DE,,Manufacturing,Robotics,5,theirstack,Robotics - Dynamics NAV,theirstack_germany_batch1,,1,CDQO,2026-04-15T07:17:58.086034
Action Against Hunger,DE,,Non-Profit,,5,theirstack,NGO - Dynamics NAV,theirstack_expansion_batch3,,1,CDQO,2026-04-15T07:17:58.093206
BELWARE,DE,,Technology,,5,theirstack,Technology - Navision,theirstack_expansion_batch2,,1,CDQO,2026-04-15T07:17:58.092048
BELWARE GmbH,DE,,IT Services,,5,verified_customer,Job posting: Dynamics NAV/BC Entwickler,research_batch_1,,1,CDQO,2026-04-15T07:17:58.138725
BUHLMANN Rohr-Fittings-Stahlhandel GmbH Co. KG,DE,,Wholesale,160,5,technology_stack,Listed on TheirStack as Microsoft Dynamics NAV user,theirstack,https://theirstack.com/en/technology/microsoft-dynamics-nav/de,1,CDQO,2026-04-15T07:17:58.097474
Balluff,DE,,Manufacturing,Sensors,5,theirstack,Sensors - Dynamics NAV,theirstack_germany_batch1,,1,CDQO,2026-04-15T07:17:58.085364
BayernInvest Kapitalverwaltungsgesellschaft mbH,DE,,Financial Services,,5,theirstack,TheirStack Navision user - 201 employees,theirstack_scrape_v1,,1,CDQO_MASS,2026-04-15T07:53:51.427384
